epoch,loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc
0,0.6148948073387146,0.643023669719696,0.6266312003135681,0.8908674716949463,0.704300582408905,0.49141761660575867,0.7832568883895874,0.8057553768157959,0.7567567825317383,0.8484019041061401
1,0.4612014889717102,0.7701525092124939,0.7795156240463257,0.8198514580726624,0.8611297607421875,0.5009704828262329,0.7786697149276733,0.7885057330131531,0.772522509098053,0.8569899201393127
2,0.4383944272994995,0.779774010181427,0.7915523052215576,0.8215550184249878,0.8738791346549988,0.5171282291412354,0.7798165082931519,0.7943925261497498,0.7657657861709595,0.8560163974761963
3,0.4312613010406494,0.7822239398956299,0.7973049879074097,0.8174026608467102,0.8774880766868591,0.5270940661430359,0.7924311757087708,0.7827957272529602,0.8198198080062866,0.8619811534881592
4,0.42663660645484924,0.7844957113265991,0.8012071847915649,0.8161782026290894,0.8800556659698486,0.5325555801391602,0.7958715558052063,0.7817796468734741,0.8310810923576355,0.8633756041526794
5,0.42144298553466797,0.7876880168914795,0.8050283193588257,0.8173494338989258,0.8830786347389221,0.5136350393295288,0.7947247624397278,0.7977527976036072,0.7995495200157166,0.8614364862442017
6,0.41698157787323,0.790613055229187,0.8121358752250671,0.81261146068573,0.8856062889099121,0.5329453349113464,0.78899085521698,0.7731092572212219,0.8288288116455078,0.8600183129310608
7,0.41145578026771545,0.7917712330818176,0.8151013255119324,0.810588538646698,0.8884393572807312,0.5376462340354919,0.7660550475120544,0.8191489577293396,0.6936936974525452,0.8499225974082947
8,0.4048229157924652,0.7983192205429077,0.8211148977279663,0.816284716129303,0.8924038410186768,0.5868061780929565,0.7958715558052063,0.7854077219963074,0.8243243098258972,0.856037437915802
9,0.3990286588668823,0.7997446060180664,0.8270233273506165,0.8105352520942688,0.8952381610870361,0.5746448636054993,0.7637614607810974,0.8131579160690308,0.6959459185600281,0.8421319127082825
