epoch,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss
0,0.809045672416687,0.8695123791694641,0.6284170746803284,0.7401149272918701,0.46922147274017334,0.8209933042526245,0.8414322137832642,0.7409909963607788,0.7970183491706848,0.473356157541275
1,0.836089015007019,0.8932157158851624,0.7008970379829407,0.7864111065864563,0.4069657623767853,0.8229667544364929,0.8358585834503174,0.7454954981803894,0.7958715558052063,0.46315234899520874
2,0.8464154005050659,0.901915967464447,0.7142058610916138,0.7972501516342163,0.3867965340614319,0.822898268699646,0.8515625,0.7364864945411682,0.8004587292671204,0.4553271234035492
3,0.8568996787071228,0.9085511565208435,0.7290851473808289,0.8079407215118408,0.3678596615791321,0.8347594141960144,0.8511165976524353,0.772522509098053,0.8153669834136963,0.4679054021835327
4,0.8643975257873535,0.9143129587173462,0.7401580810546875,0.8163595795631409,0.34967100620269775,0.8302969336509705,0.824228048324585,0.7815315127372742,0.8038991093635559,0.4804031252861023
5,0.8709535598754883,0.9201923608779907,0.7537597417831421,0.8261740803718567,0.33317315578460693,0.8188831210136414,0.8098591566085815,0.7770270109176636,0.7935779690742493,0.5190386176109314
6,0.879051923751831,0.9264591932296753,0.7638744711875916,0.8344593048095703,0.31735464930534363,0.8134813904762268,0.8075117468833923,0.7747747898101807,0.7912843823432922,0.5456392765045166
7,0.8841581344604492,0.930162787437439,0.7756927013397217,0.8423881530761719,0.30451875925064087,0.8035672903060913,0.8125,0.7319819927215576,0.7775229215621948,0.5576218962669373
8,0.8899175524711609,0.9348766207695007,0.7825601100921631,0.848297655582428,0.29222795367240906,0.790058970451355,0.8146213889122009,0.7027027010917664,0.767201840877533,0.6478123068809509
9,0.8923457860946655,0.9376819729804993,0.7886022925376892,0.8528411984443665,0.28248217701911926,0.7875595092773438,0.7921760678291321,0.7297297120094299,0.7649082541465759,0.6676313877105713
