epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.617826521396637,0.6519689559936523,0.6411753296852112,0.6059466004371643,0.9004764556884766,0.7442660331726074,0.830412745475769,0.5094869136810303,0.7407407164573669,0.7657657861709595
1,0.7643617391586304,0.8523510098457336,0.47371965646743774,0.764718770980835,0.8342516422271729,0.7649082541465759,0.8587685227394104,0.4813838601112366,0.7474120259284973,0.8130630850791931
2,0.7820160388946533,0.8761732578277588,0.43536895513534546,0.7910922169685364,0.8278367519378662,0.786697268486023,0.8619337677955627,0.47490474581718445,0.8028169274330139,0.7702702879905701
3,0.7928699851036072,0.8873017430305481,0.4159875512123108,0.8078035712242126,0.8249620795249939,0.7832568883895874,0.8638150095939636,0.4989466667175293,0.7684210538864136,0.8220720887184143
4,0.8027587532997131,0.8969602584838867,0.3987880349159241,0.8180580139160156,0.8312970995903015,0.7832568883895874,0.8607549667358398,0.4968864619731903,0.7904328107833862,0.7815315127372742
5,0.8143847584724426,0.9063915610313416,0.38173943758010864,0.8300679326057434,0.8390161991119385,0.7855504751205444,0.8604498505592346,0.5136428475379944,0.7824175953865051,0.8018018007278442
6,0.8257880806922913,0.9167896509170532,0.3613070249557495,0.8394114375114441,0.8503819704055786,0.7729358077049255,0.8517881035804749,0.5357080698013306,0.7900943160057068,0.7545045018196106
7,0.8379040360450745,0.9267699718475342,0.3400838375091553,0.8521298170089722,0.8583672642707825,0.7706422209739685,0.8469099998474121,0.5822364091873169,0.7760180830955505,0.772522509098053
8,0.8473473787307739,0.9350505471229553,0.3205382227897644,0.8601520657539368,0.8673640489578247,0.7706422209739685,0.842639684677124,0.6197071671485901,0.7877358198165894,0.7522522807121277
9,0.8572064638137817,0.9426596760749817,0.30155789852142334,0.8707948923110962,0.8736458420753479,0.76949542760849,0.8412241339683533,0.6208809614181519,0.7682119011878967,0.7837837934494019
